Problem,Level,Hardware,Device,Compiled,Correctness,Ref_PyTorch_Runtime_ms,Ref_PyTorch_Compiled_Runtime_ms,Triton_Runtime_ms,Speedup,Speedup_vs_Compiled,Status,Error_Message,Timestamp
100_HingeLoss,level1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAILED,"CUDA error: an illegal memory access was encountered
Search for `cudaErrorIllegalAddress' in https://docs.nvidia.com/cuda/cuda-runtime-api/group__CUDART__TYPES.html for more information.
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.",2025-11-24 19:05:18
10_3D_tensor_matrix_multiplication,level1,NVIDIA A100-SXM4-80GB,0,False,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:05:21
11_4D_tensor_matrix_multiplication,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:05:26
12_Matmul_with_diagonal_matrices_,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.5700,7.7100,0.1150,65.83,67.04,SUCCESS,,2025-11-24 19:05:38
13_Matmul_for_symmetric_matrices,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:05:42
14_Matmul_for_upper_triangular_matrices,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:05:46
15_Matmul_for_lower_triangular_matrices,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:05:52
16_Matmul_with_transposed_A,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:05:55
17_Matmul_with_transposed_B,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:05:58
18_Matmul_with_transposed_both,level1,NVIDIA A100-SXM4-80GB,0,False,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:06:01
19_ReLU,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3400,7.3800,7.4100,0.99,1.00,SUCCESS,,2025-11-24 19:07:06
1_Square_matrix_multiplication_,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:07:09
20_LeakyReLU,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:07:22
21_Sigmoid,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:07:35
22_Tanh,level1,NVIDIA A100-SXM4-80GB,0,True,True,7.3400,7.3500,7.4100,0.99,0.99,SUCCESS,,2025-11-24 19:08:44
23_Softmax,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:08:56
24_LogSoftmax,level1,NVIDIA A100-SXM4-80GB,0,False,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:08:59
25_Swish,level1,NVIDIA A100-SXM4-80GB,0,True,True,18.1000,7.3800,7.3400,2.47,1.01,SUCCESS,,2025-11-24 19:10:10
26_GELU_,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:10:26
27_SELU_,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:10:39
28_HardSigmoid,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:10:55
29_Softplus,level1,NVIDIA A100-SXM4-80GB,0,False,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:10:58
2_Standard_matrix_multiplication_,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:11:01
30_Softsign,level1,NVIDIA A100-SXM4-80GB,0,True,True,25.5000,7.3700,7.3400,3.47,1.00,SUCCESS,,2025-11-24 19:12:08
31_ELU,level1,NVIDIA A100-SXM4-80GB,0,True,False,-1.0000,-1.0000,-1.0000,-1.00,-1.00,SUCCESS,,2025-11-24 19:12:23
